id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"129-Lamont-Rd,-Anna,-TX-75409","129 Lamont Rd, Anna, TX 75409",75409,Single Family,Standard,4,2,1656.0,6011,2018.0,294999.0,118.0,178.14,0.2755,2.0,-9.51,1.0,45.5,87.5,92.5,69.6,2.0,455
"1800-Rodeo-Dr,-Anna,-TX-75409","1800 Rodeo Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,2528.0,10890,2012.0,375000.0,96.0,148.34,0.2321,1.0,0.0,0.0,85.7,82.6,6.8,68.9,-15.1,455
"806-Bens-Dr,-Anna,-TX-75409","806 Bens Dr, Anna, TX 75409",75409,Single Family,Standard,4,2,1595.0,7841,2004.0,259900.0,31.0,162.95,0.2034,4.0,-11.57,3.0,64.6,58.7,93.8,68.4,-6.7,455
"513-Tartane-Dr,-Anna,-TX-75409","513 Tartane Dr, Anna, TX 75409",75409,Single Family,New Construction,3,3.5,3532.0,,0.0,499000.0,9.0,141.28,,2.0,-20.67,1.0,92.5,19.8,98.9,68.3,-19.1,455
"2014-Tanur-Cascade-Dr,-Anna,-TX-75409","2014 Tanur Cascade Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2709.0,8276,2003.0,318000.0,41.0,117.39,0.3273,1.0,0.0,0.0,99.3,63.1,6.8,68.1,-32.8,455
"301-Thorn-Creek-Dr,-Anna,-TX-75409","301 Thorn Creek Dr, Anna, TX 75409",75409,Single Family,New Construction,5,3,2854.0,5502,2026.0,424990.0,90.0,148.91,0.5187,1.0,0.0,0.0,84.4,81.5,6.8,67.9,-14.8,455
"728-Mahogany-Dr,-Anna,-TX-75409","728 Mahogany Dr, Anna, TX 75409",75409,Single Family,Standard,3,2.5,2196.0,6098,2007.0,300000.0,46.0,136.61,0.3601,1.0,0.0,0.0,96.5,66.2,6.8,67.9,-21.8,455
"2017-Atwood-Dr,-Anna,-TX-75409","2017 Atwood Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2586.0,8276,2024.0,429900.0,46.0,166.24,0.3125,4.0,-4.45,2.0,60.2,66.2,82.9,66.8,-4.9,455
"800-Mahogany-Dr,-Anna,-TX-75409","800 Mahogany Dr, Anna, TX 75409",75409,Single Family,Standard,4,2,1899.0,6098,2006.0,304999.0,180.0,160.61,0.3114,1.0,0.0,0.0,68.6,98.5,6.8,66.7,-8.1,455
"400-Penn-St,-Anna,-TX-75409","400 Penn St, Anna, TX 75409",75409,Single Family,Standard,3,2,1783.0,7318,2022.0,300000.0,32.0,168.26,0.2436,3.0,-17.81,1.0,58.2,59.1,97.8,66.5,-3.7,455
