id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"410-Firecrest-Ln,-Celina,-TX-75009","410 Firecrest Ln, Celina, TX 75009",75009,Single Family,Standard,4,2.5,1952,5401,2023,450000,77,230.53,0.3614,2,3.45,0
"1320-Lakeview-Dr,-Celina,-TX-75009","1320 Lakeview Dr, Celina, TX 75009",75009,Single Family,Standard,5,3.5,4911,43429,2000,1149000,77,233.96,0.1131,2,-9.88,1
"1310-Kade-Ave,-Celina,-TX-75009","1310 Kade Ave, Celina, TX 75009",75009,Single Family,Standard,3,2,1689,6142,2022,358990,77,212.55,0.275,1,0.0,0
"3312-Crosby-Ln,-Celina,-TX-75009","3312 Crosby Ln, Celina, TX 75009",75009,Single Family,Standard,5,5.5,4782,14375,2024,1100000,77,230.03,0.3327,4,-21.37,3
"1808-Emilia-Dr,-Celina,-TX-75009","1808 Emilia Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,2401,4400,2020,449000,77,187.01,0.5457,2,-8.37,1
"2815-Hackberry-Creek-Trl,-Celina,-TX-75078","2815 Hackberry Creek Trl, Celina, TX 75078",75078,Single Family,Standard,4,2,1886,6273,2019,450000,76,238.6,0.3007,1,0.0,0
"6300-Muller-Creek-Dr,-Celina,-TX-75009","6300 Muller Creek Dr, Celina, TX 75009",75009,Single Family,New Construction,6,4,3506,5750,2025,619950,117,176.83,0.6097,1,0.0,0
"16716-Freshwater-Dr,-Celina,-TX-75009","16716 Freshwater Dr, Celina, TX 75009",75009,Single Family,New Construction,5,3.5,3054,6186,2025,683000,111,223.64,0.4937,1,0.0,0
"6218-Hightower-St,-Celina,-TX-76227","6218 Hightower St, Celina, TX 76227",76227,Single Family,Standard,3,2,2037,5750,2019,383000,112,188.02,0.3543,1,0.0,0
"3917-Linear-Dr,-Celina,-TX-75078","3917 Linear Dr, Celina, TX 75078",75078,Single Family,Standard,5,6,3714,6490,2024,799000,106,215.13,0.5723,2,-0.12,1
"4900-Pater-St,-Celina,-TX-76227","4900 Pater St, Celina, TX 76227",76227,Single Family,New Construction,4,4,2936,6125,2026,539960,100,183.91,0.4793,1,0.0,0
"725-Bretallow-Dr,-Celina,-TX-75009","725 Bretallow Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,2619,6621,2020,489000,76,186.71,0.3956,1,0.0,0
"4140-Lightcreek-Ln,-Celina,-TX-75009","4140 Lightcreek Ln, Celina, TX 75009",75009,Single Family,Standard,4,3,2310,6752,2019,499000,76,216.02,0.3421,1,0.0,0
"2929-Crossbow-Ln,-Celina,-TX-75009","2929 Crossbow Ln, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2825,7405,2019,474000,76,167.79,0.3815,1,0.0,0
"2838-Saddlebred-Trl,-Celina,-TX-75009","2838 Saddlebred Trl, Celina, TX 75009",75009,Single Family,Standard,4,3,2928,6970,2006,410000,75,140.03,0.4201,1,0.0,0
"2120-Winnsboro-Ave,-Celina,-TX-75009","2120 Winnsboro Ave, Celina, TX 75009",75009,Single Family,New Construction,3,2,1973,5663,2025,376500,75,190.83,0.3484,1,0.0,0
"1517-Snowdrop-Dr,-Celina,-TX-75078","1517 Snowdrop Dr, Celina, TX 75078",75078,Single Family,Standard,4,3,3017,6098,2018,670000,75,222.07,0.4948,1,0.0,0
"1813-Pecos-Dr,-Celina,-TX-75009","1813 Pecos Dr, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2343,8494,2021,425000,75,181.39,0.2758,1,0.0,0
"2716-War-Admiral-St,-Celina,-TX-75009","2716 War Admiral St, Celina, TX 75009",75009,Single Family,Standard,4,4.5,3149,6970,2021,699000,75,221.98,0.4518,1,0.0,0
"1213-Okeefe-Ave,-Celina,-TX-75009","1213 Okeefe Ave, Celina, TX 75009",75009,Single Family,New Construction,3,2.5,2146,4792,2026,369370,75,172.12,0.4478,1,0.0,0
"2011-Lariat-Trl,-Celina,-TX-75009","2011 Lariat Trl, Celina, TX 75009",75009,Single Family,Standard,5,5.5,5414,47306,2007,1249000,75,230.7,0.1144,1,0.0,0
"1209-Stone-Ln,-Celina,-TX-75009","1209 Stone Ln, Celina, TX 75009",75009,Single Family,Standard,3,2,2492,13939,2004,399000,75,160.11,0.1788,1,0.0,0
"536-Stark-Mews,-Celina,-TX-75009","536 Stark Mews, Celina, TX 75009",75009,Single Family,New Construction,4,3.5,3080,5489,2025,524990,74,170.45,0.5611,2,-4.55,1
"533-Yellowstone-Dr,-Celina,-TX-75009","533 Yellowstone Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,2497,5663,2017,475000,74,190.23,0.4409,1,0.0,0
"2856-Epping-Way,-Celina,-TX-75009","2856 Epping Way, Celina, TX 75009",75009,Single Family,Standard,4,3,2441,5445,2023,509990,73,208.93,0.4483,3,-13.56,2
"2625-Somerset-Ln,-Celina,-TX-75009","2625 Somerset Ln, Celina, TX 75009",75009,Single Family,Standard,4,3,2782,8494,2024,799000,72,287.2,0.3275,1,0.0,0
"2920-Saltwood-Ct,-Celina,-TX-75009","2920 Saltwood Ct, Celina, TX 75009",75009,Single Family,Standard,4,3.5,2980,6098,2021,630000,71,211.41,0.4887,2,18.87,0
"3944-Preston-Hills-Cir,-Celina,-TX-75009","3944 Preston Hills Cir, Celina, TX 75009",75009,Single Family,Standard,4,3,3375,45302,1998,929000,72,275.26,0.0745,1,0.0,0
"3811-Pandora-Dr,-Celina,-TX-75009","3811 Pandora Dr, Celina, TX 75009",75009,Single Family,New Construction,5,5,4409,43560,2026,1399999,72,317.53,0.1012,1,0.0,0
"1121-Berry-St,-Celina,-TX-75009","1121 Berry St, Celina, TX 75009",75009,Single Family,Standard,4,3,2547,5750,2019,440000,71,172.75,0.443,1,0.0,0
"319-Westphalian-Dr,-Celina,-TX-75009","319 Westphalian Dr, Celina, TX 75009",75009,Single Family,Standard,6,4,4082,8756,2017,630000,71,154.34,0.4662,1,0.0,0
