id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"4140-Lightcreek-Ln,-Celina,-TX-75009","4140 Lightcreek Ln, Celina, TX 75009",75009,Single Family,Standard,4,3,2310.0,6752,2019.0,499000.0,76.0,216.02,0.3421,1.0,0.0,0.0,42.8,82.9,11.6,50.6,3.6,397
"6931-Cottage-Hill-Ln,-Celina,-TX-75009","6931 Cottage Hill Ln, Celina, TX 75009",75009,Single Family,Standard,4,3,3460.0,87120,1983.0,825000.0,55.0,238.44,0.0397,2.0,-4.62,1.0,26.4,66.0,77.6,50.5,14.3,397
"3525-Dancer-Rd,-Celina,-TX-75009","3525 Dancer Rd, Celina, TX 75009",75009,Single Family,Standard,4,4,3725.0,10019,2022.0,899900.0,48.0,241.58,0.3718,3.0,-12.2,2.0,24.7,60.7,90.4,50.4,15.8,397
"3400-Texoma-Ln,-Celina,-TX-75009","3400 Texoma Ln, Celina, TX 75009",75009,Single Family,New Construction,4,,2379.0,,0.0,458490.0,14.0,192.72,,25.0,-7.56,12.0,66.0,12.1,81.6,50.3,-7.6,397
"2704-Fork-Way,-Celina,-TX-75009","2704 Fork Way, Celina, TX 75009",75009,Single Family,New Construction,2,,1653.0,,0.0,331990.0,14.0,200.84,,25.0,-31.41,10.0,57.9,12.1,99.7,50.3,-3.7,397
"2819-Arabian-Ln,-Celina,-TX-75009","2819 Arabian Ln, Celina, TX 75009",75009,Single Family,Standard,4,2,2137.0,10890,2005.0,415000.0,39.0,194.2,0.1962,1.0,0.0,0.0,64.7,53.1,11.6,50.1,-6.9,397
"6301-Cheshire-St,-Celina,-TX-76227","6301 Cheshire St, Celina, TX 76227",76227,Single Family,Standard,4,3,2524.0,6882,2018.0,374900.0,55.0,148.53,0.3668,1.0,0.0,0.0,91.4,25.7,0.0,50.1,-13.3,35
"6036-Tudor-Pl,-Celina,-TX-76227","6036 Tudor Pl, Celina, TX 76227",76227,Single Family,Standard,4,3,2494.0,6316,2023.0,414900.0,91.0,166.36,0.3949,1.0,0.0,0.0,60.0,65.7,0.0,50.0,-2.9,35
"2904-Adon-Springs-Ln,-Celina,-TX-75009","2904 Adon Springs Ln, Celina, TX 75009",75009,Single Family,Standard,5,4,3666.0,7797,2020.0,845000.0,98.0,230.5,0.4702,1.0,0.0,0.0,31.5,95.2,11.6,49.8,10.5,397
"1709-Victoria-Pl,-Celina,-TX-75009","1709 Victoria Pl, Celina, TX 75009",75009,Single Family,Standard,3,2,1926.0,4617,2023.0,439500.0,34.0,228.19,0.4172,4.0,-8.44,2.0,33.5,51.1,83.6,49.7,9.4,397
"1420-Holmes-St,-Celina,-TX-75009","1420 Holmes St, Celina, TX 75009",75009,Single Family,New Construction,5,4,2784.0,,0.0,445090.0,14.0,159.87,,1.0,0.0,0.0,96.0,12.1,11.6,49.7,-23.3,397
"1125-Tullow-Dr,-Celina,-TX-75009","1125 Tullow Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,2805.0,7318,2024.0,599000.0,70.0,213.55,0.3833,1.0,0.0,0.0,44.3,77.8,11.6,49.5,2.4,397
"1728-Goodnight-Trl,-Celina,-TX-75009","1728 Goodnight Trl, Celina, TX 75009",75009,Single Family,New Construction,4,3.5,2697.0,,2026.0,436945.0,14.0,162.01,,1.0,0.0,0.0,95.0,12.1,11.6,49.3,-22.3,397
"2516-Fairweather-Dr,-Celina,-TX-75009","2516 Fairweather Dr, Celina, TX 75009",75009,Single Family,New Construction,3,2,1537.0,7841,2026.0,293990.0,14.0,191.28,0.196,2.0,-2.0,1.0,68.0,12.1,72.3,49.3,-8.3,397
"2920-Saltwood-Ct,-Celina,-TX-75009","2920 Saltwood Ct, Celina, TX 75009",75009,Single Family,Standard,4,3.5,2980.0,6098,2021.0,630000.0,71.0,211.41,0.4887,2.0,18.87,0.0,47.1,78.8,2.0,49.2,1.4,397
"6021-Painswick-Dr,-Celina,-TX-76227","6021 Painswick Dr, Celina, TX 76227",76227,Single Family,Standard,5,3.5,3674.0,6882,2021.0,584900.0,33.0,159.2,0.5339,3.0,-7.14,1.0,71.4,8.6,68.6,48.9,-7.0,35
"4130-Maclin-Dr,-Celina,-TX-75009","4130 Maclin Dr, Celina, TX 75009",75009,Single Family,Standard,4,3.5,3396.0,6186,2017.0,649900.0,26.0,191.37,0.549,1.0,0.0,0.0,67.8,45.6,11.6,48.8,-8.2,397
"1412-Florence-Ln,-Celina,-TX-75009","1412 Florence Ln, Celina, TX 75009",75009,Single Family,New Construction,4,2.5,2144.0,4199,2026.0,350000.0,14.0,163.25,0.5106,1.0,0.0,0.0,94.0,12.1,11.6,48.8,-21.7,397
"2829-Geunine-Risk-Ct,-Celina,-TX-75009","2829 Geunine Risk Ct, Celina, TX 75009",75009,Single Family,New Construction,5,4,3192.0,6011,2026.0,749286.0,102.0,234.74,0.531,1.0,0.0,0.0,27.5,97.2,11.6,48.7,12.6,397
"2229-Pinner-Ct,-Celina,-TX-75009","2229 Pinner Ct, Celina, TX 75009",75009,Single Family,New Construction,5,,3448.0,,0.0,662990.0,13.0,192.28,,24.0,-14.56,11.0,66.8,0.0,93.2,48.7,-7.8,397
"2716-War-Admiral-St,-Celina,-TX-75009","2716 War Admiral St, Celina, TX 75009",75009,Single Family,Standard,4,4.5,3149.0,6970,2021.0,699000.0,75.0,221.98,0.4518,1.0,0.0,0.0,39.5,81.1,11.6,48.5,6.4,397
"2513-Fairweather-Dr,-Celina,-TX-75009","2513 Fairweather Dr, Celina, TX 75009",75009,Single Family,New Construction,4,3,1958.0,7841,2026.0,321490.0,14.0,164.19,0.2497,1.0,0.0,0.0,93.2,12.1,11.6,48.5,-21.3,397
"717-Fieldcrest-St,-Celina,-TX-75009","717 Fieldcrest St, Celina, TX 75009",75009,Single Family,Standard,4,3,2447.0,4356,2023.0,559900.0,89.0,228.81,0.5618,1.0,0.0,0.0,33.0,88.9,11.6,48.3,9.7,397
"2317-Sorrelwood-Ct,-Celina,-TX-75009","2317 Sorrelwood Ct, Celina, TX 75009",75009,Single Family,New Construction,5,,3443.0,,0.0,673990.0,14.0,195.76,,24.0,-5.6,11.0,63.0,12.1,78.8,48.3,-6.1,397
"1455-Brewer-Ln,-Celina,-TX-75009","1455 Brewer Ln, Celina, TX 75009",75009,Single Family,Standard,3,2.5,2774.0,19994,2014.0,569000.0,50.0,205.12,0.1387,1.0,0.0,0.0,53.1,62.7,11.6,48.2,-1.6,397
"824-Langholm-Dr,-Celina,-TX-75009","824 Langholm Dr, Celina, TX 75009",75009,Single Family,Standard,4,3.5,2889.0,9322,2017.0,565900.0,29.0,195.88,0.3099,1.0,0.0,0.0,62.7,49.4,11.6,47.8,-6.1,397
"2404-Aurora-Ave,-Celina,-TX-75009","2404 Aurora Ave, Celina, TX 75009",75009,Single Family,New Construction,4,,3390.0,,0.0,549900.0,14.0,162.21,,15.0,10.0,6.0,94.7,12.1,4.0,47.7,-22.2,397
"2708-Delta-Downs-Way,-Celina,-TX-75009","2708 Delta Downs Way, Celina, TX 75009",75009,Single Family,New Construction,4,4,3942.0,7928,2026.0,899900.0,83.0,228.29,0.4972,1.0,0.0,0.0,33.2,86.6,11.6,47.6,9.5,397
"1405-Devonshire-Dr,-Celina,-TX-75009","1405 Devonshire Dr, Celina, TX 75009",75009,Single Family,Standard,5,4.5,4303.0,9888,2016.0,1000000.0,90.0,232.4,0.4352,1.0,0.0,0.0,30.0,90.7,11.6,47.5,11.4,397
"1637-Snowdrop-Dr,-Celina,-TX-75078","1637 Snowdrop Dr, Celina, TX 75078",75078,Single Family,Standard,4,3,2346.0,6011,2020.0,488000.0,68.0,208.01,0.3903,1.0,0.0,0.0,57.1,59.5,4.8,47.5,-1.1,42
"2624-Diamondhead-Pl,-Celina,-TX-75009","2624 Diamondhead Pl, Celina, TX 75009",75009,Single Family,New Construction,5,4.5,3291.0,6011,2025.0,725000.0,68.0,220.3,0.5475,1.0,0.0,0.0,41.3,75.8,11.6,47.4,5.6,397
"3200-Philly-St,-Celina,-TX-75009","3200 Philly St, Celina, TX 75009",75009,Single Family,New Construction,4,3,3006.0,,2026.0,599990.0,14.0,199.6,,4.0,-6.24,2.0,59.7,12.1,79.6,47.0,-4.3,397
"1313-Grassland-Dr,-Celina,-TX-75009","1313 Grassland Dr, Celina, TX 75009",75009,Single Family,Standard,4,5,3821.0,7275,2015.0,849999.0,69.0,222.45,0.5252,1.0,0.0,0.0,38.8,77.1,11.6,46.8,6.7,397
"1422-Teasley-Ln,-Celina,-TX-75009","1422 Teasley Ln, Celina, TX 75009",75009,Single Family,Standard,5,5,4905.0,13024,2016.0,990000.0,40.0,201.83,0.3766,1.0,0.0,0.0,56.4,54.4,11.6,46.8,-3.2,397
"1464-Holmes-St,-Celina,-TX-75009","1464 Holmes St, Celina, TX 75009",75009,Single Family,New Construction,5,4,2796.0,,0.0,469580.0,14.0,167.95,,1.0,0.0,0.0,89.4,12.1,11.6,46.8,-19.5,397
"533-Yosemite-Park,-Celina,-TX-75009","533 Yosemite Park, Celina, TX 75009",75009,Single Family,Standard,4,3,2503.0,5968,2017.0,499900.0,34.0,199.72,0.4194,1.0,0.0,0.0,58.9,51.1,11.6,46.7,-4.2,397
"1509-Wayback-Dr,-Celina,-TX-75009","1509 Wayback Dr, Celina, TX 75009",75009,Single Family,Standard,3,2,1929.0,5489,2021.0,450000.0,89.0,233.28,0.3514,1.0,0.0,0.0,28.7,88.9,11.6,46.4,11.9,397
"613-Cattle-Chute-Ct,-Celina,-TX-75009","613 Cattle Chute Ct, Celina, TX 75009",75009,Single Family,Standard,4,2,2178.0,6011,2022.0,420000.0,21.0,192.84,0.3623,1.0,0.0,0.0,65.5,41.6,11.6,46.3,-7.5,397
"720-Skyview-Ct,-Celina,-TX-75009","720 Skyview Ct, Celina, TX 75009",75009,Single Family,Standard,3,2,1739.0,4356,2023.0,435000.0,48.0,250.14,0.3992,2.0,-7.23,1.0,19.4,60.7,81.1,46.2,20.0,397
"1412-Rose-Mallow-Rd,-Celina,-TX-75009","1412 Rose Mallow Rd, Celina, TX 75009",75009,Single Family,New Construction,4,4,3900.0,7440,2026.0,661905.0,14.0,169.72,0.5242,1.0,0.0,0.0,87.7,12.1,11.6,46.0,-18.6,397
"2900-Vaquero-Ln,-Celina,-TX-75009","2900 Vaquero Ln, Celina, TX 75009",75009,Single Family,Standard,5,5,4136.0,9627,2018.0,959000.0,81.0,231.87,0.4296,1.0,0.0,0.0,30.2,85.6,11.6,45.9,11.2,397
