id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"2303-Fall-River-Dr,-Arlington,-TX-76006","2303 Fall River Dr, Arlington, TX 76006",76006,Single Family,Standard,4,2.5,2612,8973,1980,439990,47,168.45,0.2911,3,3.53,0
"3208-Village-Oak-Dr,-Arlington,-TX-76017","3208 Village Oak Dr, Arlington, TX 76017",76017,Single Family,Standard,3,2,2118,6273,1992,375000,47,177.05,0.3376,1,0.0,0
"6420-St-Alban-Ct,-Arlington,-TX-76001","6420 St Alban Ct, Arlington, TX 76001",76001,Single Family,Standard,4,2,1772,7492,1997,360000,47,203.16,0.2365,1,0.0,0
"7000-Rovato-Dr,-Arlington,-TX-76001","7000 Rovato Dr, Arlington, TX 76001",76001,Single Family,Standard,3,2,1478,6447,1997,320000,46,216.51,0.2293,1,0.0,0
"2005-Meadow-Ln,-Arlington,-TX-76010","2005 Meadow Ln, Arlington, TX 76010",76010,Single Family,Standard,3,2,1286,11500,1957,284999,47,221.62,0.1118,1,0.0,0
"4619-Magnolia-Park-Dr,-Arlington,-TX-76005","4619 Magnolia Park Dr, Arlington, TX 76005",76005,Single Family,Standard,2,2,1716,4400,2023,439000,47,255.83,0.39,1,0.0,0
"1512-Sherman-St,-Arlington,-TX-76012","1512 Sherman St, Arlington, TX 76012",76012,Single Family,Standard,3,2,1370,7536,1957,249000,46,181.75,0.1818,2,46.47,0
"5220-Prestwick-Dr,-Arlington,-TX-76001","5220 Prestwick Dr, Arlington, TX 76001",76001,Single Family,Standard,4,3,2912,8843,2012,430000,46,147.66,0.3293,1,0.0,0
"8111-Russell-Curry-Rd,-Arlington,-TX-76001","8111 Russell Curry Rd, Arlington, TX 76001",76001,Single Family,Standard,4,4,3762,174066,1984,1050000,46,279.11,0.0216,1,0.0,0
"3317-Tiverton-Ct,-Arlington,-TX-76001","3317 Tiverton Ct, Arlington, TX 76001",76001,Single Family,Standard,4,2.5,2410,8625,1992,450000,44,186.72,0.2794,1,0.0,0
"1404-Creekford-Dr,-Arlington,-TX-76012","1404 Creekford Dr, Arlington, TX 76012",76012,Single Family,Standard,5,4.5,3545,8276,1974,575000,44,162.2,0.4283,1,0.0,0
"2211-Clover-Park-Dr,-Arlington,-TX-76013","2211 Clover Park Dr, Arlington, TX 76013",76013,Single Family,Standard,3,2,1406,8712,1966,300000,44,213.37,0.1614,1,0.0,0
"1115-Blue-Lake-Blvd,-Arlington,-TX-76005","1115 Blue Lake Blvd, Arlington, TX 76005",76005,Single Family,Standard,5,4,4200,9757,2013,1250000,44,297.62,0.4305,1,0.0,0
"7609-Albany-Ln,-Arlington,-TX-76002","7609 Albany Ln, Arlington, TX 76002",76002,Single Family,Standard,3,2,1733,7187,1996,330000,44,190.42,0.2411,1,0.0,0
"1708-Park-Ridge-Ter,-Arlington,-TX-76012","1708 Park Ridge Ter, Arlington, TX 76012",76012,Single Family,Standard,5,2.5,2103,10803,1965,370000,43,175.94,0.1947,1,0.0,0
"6006-Millwood-Dr,-Arlington,-TX-76016","6006 Millwood Dr, Arlington, TX 76016",76016,Single Family,Standard,4,3.5,2955,11151,1985,629500,43,213.03,0.265,1,0.0,0
"6419-Willowstone-Trl,-Arlington,-TX-76018","6419 Willowstone Trl, Arlington, TX 76018",76018,Single Family,Standard,4,2.5,2674,7797,1999,400000,43,149.59,0.343,2,-5.88,1
