id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"2012-Bradford-Dr,-Arlington,-TX-76010","2012 Bradford Dr, Arlington, TX 76010",76010,Single Family,Standard,3,1.5,1550.0,7623,1957.0,285000.0,71.0,183.87,0.2033,2.0,-10.35,1.0,69.2,34.6,96.2,62.5,-6.2,26
"4505-Cypress-Thorn-Dr,-Arlington,-TX-76005","4505 Cypress Thorn Dr, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,2058.0,3615,2022.0,415000.0,71.0,201.65,0.5693,2.0,-5.68,1.0,82.1,23.1,87.2,62.4,-16.5,39
"817-Pryor-Dr,-Arlington,-TX-76001","817 Pryor Dr, Arlington, TX 76001",76001,Single Family,Standard,5,2.5,2809.0,12023,2001.0,380000.0,92.0,135.28,0.2336,1.0,0.0,0.0,88.9,61.1,3.7,62.1,-18.8,54
"1819-W-Cedar-Elm-Dr,-Arlington,-TX-76012","1819 W Cedar Elm Dr, Arlington, TX 76012",76012,Single Family,Standard,5,2,2679.0,10149,1968.0,375000.0,104.0,139.98,0.264,1.0,0.0,0.0,87.5,57.5,12.5,62.0,-15.8,40
"2024-Crooked-Creek-Ln,-Arlington,-TX-76006","2024 Crooked Creek Ln, Arlington, TX 76006",76006,Single Family,Standard,4,3,2138.0,9278,1979.0,349000.0,109.0,163.24,0.2304,1.0,0.0,0.0,85.0,65.0,5.0,62.0,-10.6,20
"1503-N-Fielder-Rd,-Arlington,-TX-76012","1503 N Fielder Rd, Arlington, TX 76012",76012,Single Family,Standard,5,3,2658.0,14505,1978.0,355000.0,83.0,133.56,0.1832,1.0,0.0,0.0,95.0,47.5,12.5,61.9,-19.6,40
"709-Creek-Walk-Pl,-Arlington,-TX-76015","709 Creek Walk Pl, Arlington, TX 76015",76015,Single Family,Standard,5,3,2722.0,5750,2001.0,310000.0,85.0,113.89,0.4734,1.0,0.0,0.0,100.0,37.5,12.5,60.6,-32.7,8
"6707-Forest-Park-Dr,-Arlington,-TX-76001","6707 Forest Park Dr, Arlington, TX 76001",76001,Single Family,Standard,4,3.5,3458.0,7797,1999.0,454900.0,83.0,131.55,0.4435,1.0,0.0,0.0,90.7,53.7,3.7,60.4,-21.0,54
"2312-Perkins-Rd,-Arlington,-TX-76016","2312 Perkins Rd, Arlington, TX 76016",76016,Townhouse,Standard,2,2.5,1390.0,3964,1985.0,235000.0,236.0,169.06,0.3507,1.0,0.0,0.0,56.9,96.6,1.7,59.7,-1.9,58
"4703-Enchanted-Bay-Blvd,-Arlington,-TX-76016","4703 Enchanted Bay Blvd, Arlington, TX 76016",76016,Single Family,Standard,5,3.5,3765.0,7928,2000.0,545000.0,41.0,144.75,0.4749,5.0,-13.49,4.0,91.4,0.0,93.1,59.7,-16.0,58
"1307-Oriental-Ave,-Arlington,-TX-76011","1307 Oriental Ave, Arlington, TX 76011",76011,Single Family,Standard,3,2.5,1633.0,5489,1984.0,329000.0,173.0,201.47,0.2975,1.0,0.0,0.0,66.7,77.8,11.1,59.4,-20.9,9
"6715-Canyon-Creek-Dr,-Arlington,-TX-76001","6715 Canyon Creek Dr, Arlington, TX 76001",76001,Single Family,Standard,5,2.5,2292.0,7449,1995.0,370000.0,159.0,161.43,0.3077,1.0,0.0,0.0,61.1,88.9,3.7,59.4,-3.1,54
"6601-Vintage-Dr,-Arlington,-TX-76001","6601 Vintage Dr, Arlington, TX 76001",76001,Single Family,Standard,5,4,4594.0,7187,2008.0,543000.0,66.0,118.2,0.6392,1.0,0.0,0.0,100.0,38.9,3.7,59.4,-29.0,54
"1429-Cypress-Thorn-Dr,-Arlington,-TX-76005","1429 Cypress Thorn Dr, Arlington, TX 76005",76005,Single Family,Standard,4,3.5,3139.0,6490,2023.0,839990.0,185.0,267.6,0.4837,2.0,-3.45,1.0,30.8,84.6,76.9,58.8,10.8,39
"2705-Fox-Creek-Trl,-Arlington,-TX-76017","2705 Fox Creek Trl, Arlington, TX 76017",76017,Single Family,Standard,3,2,3062.0,8407,2009.0,414999.0,83.0,135.53,0.3642,1.0,0.0,0.0,93.8,45.8,2.1,58.6,-20.0,48
