id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"630-Table-Rock-Dr,-Prosper,-TX-75078","630 Table Rock Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4,3743.0,12632,2003.0,675000.0,104.0,180.34,0.2963,1.0,0.0,0.0,96.2,82.7,6.8,73.6,-30.0,473
"831-Texcoco-Dr,-Prosper,-TX-75078","831 Texcoco Dr, Prosper, TX 75078",75078,Single Family,Standard,4,4,3810.0,11761,2005.0,780000.0,166.0,204.72,0.324,1.0,0.0,0.0,86.5,95.3,6.8,73.6,-20.5,473
"4517-Lamplights-Dr,-Prosper,-TX-75078","4517 Lamplights Dr, Prosper, TX 75078",75078,Single Family,New Construction,3,2.5,2249.0,2919,2025.0,390990.0,27.0,173.85,0.7705,4.0,-12.72,2.0,97.5,29.2,94.5,73.0,-32.5,473
"2130-Nocona-Dr,-Prosper,-TX-75078","2130 Nocona Dr, Prosper, TX 75078",75078,Single Family,Standard,6,3.5,4501.0,11674,2013.0,840000.0,103.0,186.63,0.3856,1.0,0.0,0.0,94.1,81.8,6.8,72.3,-27.5,473
"201-Kingsbury-Ln,-Prosper,-TX-75078","201 Kingsbury Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4,4083.0,10890,2017.0,849950.0,140.0,208.17,0.3749,1.0,0.0,0.0,85.6,92.4,6.8,72.2,-19.2,473
"1001-Jessica-Ln,-Prosper,-TX-75078","1001 Jessica Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4668.0,14810,2014.0,975000.0,144.0,208.87,0.3152,1.0,0.0,0.0,85.0,92.8,6.8,72.1,-18.9,473
"16501-Stillhouse-Hollow-Ct,-Prosper,-TX-75078","16501 Stillhouse Hollow Ct, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,2704.0,5619,2016.0,529000.0,43.0,195.64,0.4812,2.0,-1.86,1.0,89.4,47.6,75.7,72.0,-24.0,473
"2130-Lassen-Dr,-Prosper,-TX-75078","2130 Lassen Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,5060.0,19428,2022.0,1150000.0,52.0,227.27,0.2604,2.0,-11.54,1.0,73.2,58.1,93.0,71.9,-11.7,473
"15933-Perdido-Creek-Trl,-Prosper,-TX-75078","15933 Perdido Creek Trl, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3311.0,7231,2016.0,558000.0,78.0,168.53,0.4579,1.0,0.0,0.0,98.9,73.4,6.8,71.6,-34.5,473
"1000-Sycamore-Pl,-Prosper,-TX-75078","1000 Sycamore Pl, Prosper, TX 75078",75078,Single Family,Standard,5,4,4012.0,10585,2022.0,944000.0,70.0,235.29,0.379,2.0,-5.51,1.0,67.7,70.4,82.2,71.5,-8.6,473
"16304-Toledo-Bend-Ct,-Prosper,-TX-75078","16304 Toledo Bend Ct, Prosper, TX 75078",75078,Single Family,Standard,4,2,2185.0,5663,2012.0,424999.0,110.0,194.51,0.3858,1.0,0.0,0.0,90.3,83.7,6.8,71.3,-24.5,473
"900-Blue-Ridge-Dr,-Prosper,-TX-75078","900 Blue Ridge Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4515.0,10977,2013.0,949999.0,143.0,210.41,0.4113,1.0,0.0,0.0,83.5,92.6,6.8,71.3,-18.3,473
"2491-Stonybrook-Dr,-Prosper,-TX-75078","2491 Stonybrook Dr, Prosper, TX 75078",75078,Single Family,Standard,4,4,4446.0,10890,2012.0,800000.0,32.0,179.94,0.4083,4.0,-3.03,1.0,96.4,34.9,78.0,71.2,-30.1,473
"1000-Chapala-Ct,-Prosper,-TX-75078","1000 Chapala Ct, Prosper, TX 75078",75078,Single Family,Standard,6,3.5,3072.0,17424,2006.0,599900.0,110.0,195.28,0.1763,1.0,0.0,0.0,89.9,83.7,6.8,71.1,-24.2,473
"2560-Shady-Trl,-Prosper,-TX-75078","2560 Shady Trl, Prosper, TX 75078",75078,Single Family,Standard,4,5,4046.0,9583,2023.0,915000.0,61.0,226.15,0.4222,2.0,-3.68,1.0,73.6,63.0,79.3,71.0,-12.2,473
"16013-Gladewater-Ter,-Prosper,-TX-75078","16013 Gladewater Ter, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3261.0,5968,2018.0,615000.0,91.0,188.59,0.5464,1.0,0.0,0.0,93.2,78.2,6.8,70.7,-26.8,473
